,fullname,likes,retweets,timestamp,tweet,username
0,Beautyon,0,0,1293665543000,"@glynmoody ""Bitcoin: not quite sure whether it really scales” > IT Myth 6: 'IT doesn't scale': http://j.mp/dEJVMC > I suggest you run it :)",@Beautyon_
1,Jeremy d,0,0,1293652607000,All setup to start cranking out #bitcoin from 6pm - 9am everyday.  I am feeling rich already :),@rubyonlinux
2,Roman,0,1,1293546061000,"#webmoney, #chronopay, what's next? relax and choose #bitcoin :)",@romanoza
3,I'm Ninji,0,0,1293245563000,Trying out bitcoin. Here's my address: 1CSNjq83ava8FzgVoqNi8bqX6mJSkzQTuC -- Send me something! :D,@_Ninji
4,Bruce Wagner,0,0,1292872173000,That 12.34 was from me. Keep doin' what you do!!! :-) / ☆ Now Accepting BitCoin - Wild Webmink http://bit.ly/h6LbTI,@brucewagner
5,ThirdOfSeven,0,0,1292869600000,"http://ur.ly/zJAi и даже биржа, где можно торговать RUB/BTC и некоторыми другими парами #bitcoin #trading :)",@stasikos
6,Bitcoin,0,0,1292759267000,"http://please.bitcoin.me/  add anything you want to the page for a bit payment!
Dont like whats there?pay to edit it ! :) fun with #bitcoin",@bitcoinpoet
7,Eric Fontaine,0,2,1292745056000,Glad to see LMPTFY is accepting bitcoin!  My youtube channel does so also :) (YouTube http://youtu.be/kBRqDZZoT-g?a),@ericrfontaine
8,slush,0,0,1292669939000,@rbukovansky <reklama>Dokonce uz lze nakupovat BTC primo za koruny</reklama> :-) http://ur.ly/A4S2 #bitcoin,@slushcz
9,Bruce Wagner,0,0,1292267614000,"@jperlow By the way, did you see the PC World blog post about Bitcoin? It's all FOSS. I created http://bitcoinme.com Check it out! :-)",@brucewagner
10,MOVED TO @maymaymx,0,0,1292252918000,@lensassaman My excitement stems from frustrations explained here http://ur1.ca/021ip Agree #BitCoin feels half-baked but so did Napster. :),@maymaym
11,Bitcoin,0,0,1292209910000,#bitcoin is the secret santa of currencies .. have you been naughty or nice? Post a bitcoin address to find out :),@bitcoinpoet
12,Maxim Penzin,0,0,1292132581000,"Третий раз увидел упоминание о #bitcoin , видимо ""инициативы"" #webmoney дают о себе знать :)",@mpenzin
13,Kieran Moolchan,0,0,1292092830000,"The ONE time I might check out what Bitcoin is all about, and the website is down :P",@kieranmoolchan
14,Bruce Wagner,0,0,1292084712000,"@keirthomas You totally forgot to mention the #1 site on the web which explains Bitcoin to new users, http://bitcoinme.com :)",@brucewagner
